id,level,difficulty,type,topic,concept,question,option_a,feedback_a,option_b,feedback_b,option_c,feedback_c,option_d,feedback_d,correct
tr-b1-032,B1,medium,grammar,purpose,-mek için,Bağlama göre: Türkçemi geliştirmek için her gün haber okuyorum. “-mek için” ne ifade eder?,purpose,Correct. This option matches the grammar or meaning in the sentence.,comparison,This option does not match the grammar or contextual meaning of the sentence.,past habit,This option does not match the grammar or contextual meaning of the sentence.,unexpected result,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-033,B1,hard,grammar,contrast,-mesine rağmen,Bağlama göre: Çok yorgun olmasına rağmen çalışmaya devam etti. Anlam hangisidir?,He continued working because he was energetic.,This option does not match the grammar or contextual meaning of the sentence.,"Although he was very tired, he continued working.",Correct. This option matches the grammar or meaning in the sentence.,He stopped working before getting tired.,This option does not match the grammar or contextual meaning of the sentence.,He worked so that he would become tired.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-034,B1,medium,grammar,time clauses,-DIkten sonra,Bağlama göre: Yemek yedikten sonra yürüyüşe çıktık. Hangisi önce oldu?,We went for a walk.,This option does not match the grammar or contextual meaning of the sentence.,We ate.,Correct. This option matches the grammar or meaning in the sentence.,Both happened at exactly the same time.,This option does not match the grammar or contextual meaning of the sentence.,The sentence does not say.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-035,B1,medium,grammar,time clauses,-madan önce,Bağlama göre: Evden çıkmadan önce pencereleri kontrol ettim. Hangisi doğrudur?,I checked the windows after leaving.,This option does not match the grammar or contextual meaning of the sentence.,I checked the windows before leaving.,Correct. This option matches the grammar or meaning in the sentence.,I did not check the windows.,This option does not match the grammar or contextual meaning of the sentence.,I left because the windows were open.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-036,B1,hard,grammar,reported past,-mIş inference,Bağlama göre: Yerler ıslak; gece yağmur yağmış. “yağmış” burada neyi gösterir?,a direct command,This option does not match the grammar or contextual meaning of the sentence.,an inference from evidence,Correct. This option matches the grammar or meaning in the sentence.,a definite future plan,This option does not match the grammar or contextual meaning of the sentence.,a repeated habit,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-037,B1,easy,vocabulary,communication,context vocabulary,Bağlama göre: Mesajıma henüz cevap vermedi. “cevap vermek” ne demektir?,to reply,Correct. This option matches the grammar or meaning in the sentence.,to delete,This option does not match the grammar or contextual meaning of the sentence.,to forward,This option does not match the grammar or contextual meaning of the sentence.,to print,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-038,B1,medium,grammar,ability,negative ability,Bağlama göre: Bu yazıyı gözlüksüz okuyamıyorum. Anlam hangisidir?,I refuse to read it.,This option does not match the grammar or contextual meaning of the sentence.,I am unable to read it without glasses.,Correct. This option matches the grammar or meaning in the sentence.,I have never read it.,This option does not match the grammar or contextual meaning of the sentence.,I should not read it.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-039,B1,hard,grammar,relative clauses,-DIK possessive,Bağlama göre: Geçen hafta aldığım kitap çok sürükleyici. “aldığım” hangi ismi tanımlar?,hafta,This option does not match the grammar or contextual meaning of the sentence.,kitap,Correct. This option matches the grammar or meaning in the sentence.,çok,This option does not match the grammar or contextual meaning of the sentence.,sürükleyici,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-040,B1,medium,grammar,reason,-DIği için,Bağlama göre: Otobüs geciktiği için toplantıya yetişemedik. Neden yetişemedik?,The meeting ended early.,This option does not match the grammar or contextual meaning of the sentence.,The bus was late.,Correct. This option matches the grammar or meaning in the sentence.,We took a taxi.,This option does not match the grammar or contextual meaning of the sentence.,We forgot the meeting.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-041,B1,easy,vocabulary,education,context vocabulary,Bağlama göre: Sınavdan önce bütün notlarımı tekrar ettim. “tekrar etmek” burada ne demektir?,to review,Correct. This option matches the grammar or meaning in the sentence.,to lose,This option does not match the grammar or contextual meaning of the sentence.,to copy illegally,This option does not match the grammar or contextual meaning of the sentence.,to submit,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-042,B1,hard,grammar,connectors,oysa,"Bağlama göre: Hava güneşli görünüyordu, oysa oldukça soğuktu. “oysa” ne yapar?",adds a reason,This option does not match the grammar or contextual meaning of the sentence.,introduces a contrast,Correct. This option matches the grammar or meaning in the sentence.,gives a purpose,This option does not match the grammar or contextual meaning of the sentence.,lists a sequence,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-043,B1,medium,grammar,comparison,kadar,Bağlama göre: Kardeşim benim kadar hızlı koşuyor. Anlam hangisidir?,My sibling runs faster than me.,This option does not match the grammar or contextual meaning of the sentence.,We run at roughly the same speed.,Correct. This option matches the grammar or meaning in the sentence.,I never run with my sibling.,This option does not match the grammar or contextual meaning of the sentence.,My sibling runs very slowly.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-044,B1,hard,grammar,gerund,-ip,Bağlama göre: Eve gidip biraz dinleneceğim. “gidip” yapısı neyi bağlar?,two sequential actions by the same subject,Correct. This option matches the grammar or meaning in the sentence.,a condition and result,This option does not match the grammar or contextual meaning of the sentence.,a reported statement,This option does not match the grammar or contextual meaning of the sentence.,a comparison,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-045,B1,medium,grammar,obligation,zorunda olmak,Bağlama göre: Yarın erken kalkmak zorundayım. En yakın anlam hangisidir?,I may wake up early.,This option does not match the grammar or contextual meaning of the sentence.,I have to wake up early.,Correct. This option matches the grammar or meaning in the sentence.,I used to wake up early.,This option does not match the grammar or contextual meaning of the sentence.,I wish I woke up early.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-046,B1,easy,vocabulary,health,context vocabulary,Bağlama göre: Doktor ilacı günde iki kez kullanmamı önerdi. “önermek” ne demektir?,to recommend,Correct. This option matches the grammar or meaning in the sentence.,to forbid,This option does not match the grammar or contextual meaning of the sentence.,to forget,This option does not match the grammar or contextual meaning of the sentence.,to measure,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-047,B1,hard,grammar,indirect speech,-mesini istemek,Bağlama göre: Annem eve erken gelmemi istedi. Anlam hangisidir?,My mother wanted me to come home early.,Correct. This option matches the grammar or meaning in the sentence.,My mother said she would come home early.,This option does not match the grammar or contextual meaning of the sentence.,I wanted my mother to leave early.,This option does not match the grammar or contextual meaning of the sentence.,My mother asked where home was.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-048,B1,medium,grammar,future in past,-ecekti,Bağlama göre: Saat sekizde başlayacaktı ama toplantı ertelendi. Ne anlıyoruz?,It was supposed to start at eight.,Correct. This option matches the grammar or meaning in the sentence.,It definitely started at eight.,This option does not match the grammar or contextual meaning of the sentence.,It had ended by eight.,This option does not match the grammar or contextual meaning of the sentence.,It starts at eight every day.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-049,B1,hard,grammar,reciprocal,-iş,Bağlama göre: İki arkadaş uzun süre bakıştı. “bakıştı” neyi anlatır?,They looked at each other.,Correct. This option matches the grammar or meaning in the sentence.,They both looked at a third person.,This option does not match the grammar or contextual meaning of the sentence.,One of them closed their eyes.,This option does not match the grammar or contextual meaning of the sentence.,They searched for something together.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-050,B1,medium,vocabulary,abstract,context vocabulary,Bağlama göre: Bu kararın sonuçlarını dikkatlice değerlendirmeliyiz. “değerlendirmek” ne demektir?,to evaluate,Correct. This option matches the grammar or meaning in the sentence.,to hide,This option does not match the grammar or contextual meaning of the sentence.,to announce,This option does not match the grammar or contextual meaning of the sentence.,to repeat,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-051,B1,easy,vocabulary,daily life,context vocabulary,Anlama odaklanın: Yoğun trafikten dolayı eve ancak saat sekizde varabildim. “varmak” ne demektir?,to arrive,Correct. This option matches the grammar or meaning in the sentence.,to leave,This option does not match the grammar or contextual meaning of the sentence.,to get lost,This option does not match the grammar or contextual meaning of the sentence.,to move house,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-052,B1,medium,grammar,purpose,-mek için,Anlama odaklanın: Türkçemi geliştirmek için her gün haber okuyorum. “-mek için” ne ifade eder?,purpose,Correct. This option matches the grammar or meaning in the sentence.,comparison,This option does not match the grammar or contextual meaning of the sentence.,past habit,This option does not match the grammar or contextual meaning of the sentence.,unexpected result,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-053,B1,hard,grammar,contrast,-mesine rağmen,Anlama odaklanın: Çok yorgun olmasına rağmen çalışmaya devam etti. Anlam hangisidir?,He continued working because he was energetic.,This option does not match the grammar or contextual meaning of the sentence.,"Although he was very tired, he continued working.",Correct. This option matches the grammar or meaning in the sentence.,He stopped working before getting tired.,This option does not match the grammar or contextual meaning of the sentence.,He worked so that he would become tired.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-054,B1,medium,grammar,time clauses,-DIkten sonra,Anlama odaklanın: Yemek yedikten sonra yürüyüşe çıktık. Hangisi önce oldu?,We went for a walk.,This option does not match the grammar or contextual meaning of the sentence.,We ate.,Correct. This option matches the grammar or meaning in the sentence.,Both happened at exactly the same time.,This option does not match the grammar or contextual meaning of the sentence.,The sentence does not say.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-055,B1,medium,grammar,time clauses,-madan önce,Anlama odaklanın: Evden çıkmadan önce pencereleri kontrol ettim. Hangisi doğrudur?,I checked the windows after leaving.,This option does not match the grammar or contextual meaning of the sentence.,I checked the windows before leaving.,Correct. This option matches the grammar or meaning in the sentence.,I did not check the windows.,This option does not match the grammar or contextual meaning of the sentence.,I left because the windows were open.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-056,B1,hard,grammar,reported past,-mIş inference,Anlama odaklanın: Yerler ıslak; gece yağmur yağmış. “yağmış” burada neyi gösterir?,a direct command,This option does not match the grammar or contextual meaning of the sentence.,an inference from evidence,Correct. This option matches the grammar or meaning in the sentence.,a definite future plan,This option does not match the grammar or contextual meaning of the sentence.,a repeated habit,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-057,B1,easy,vocabulary,communication,context vocabulary,Anlama odaklanın: Mesajıma henüz cevap vermedi. “cevap vermek” ne demektir?,to reply,Correct. This option matches the grammar or meaning in the sentence.,to delete,This option does not match the grammar or contextual meaning of the sentence.,to forward,This option does not match the grammar or contextual meaning of the sentence.,to print,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-058,B1,medium,grammar,ability,negative ability,Anlama odaklanın: Bu yazıyı gözlüksüz okuyamıyorum. Anlam hangisidir?,I refuse to read it.,This option does not match the grammar or contextual meaning of the sentence.,I am unable to read it without glasses.,Correct. This option matches the grammar or meaning in the sentence.,I have never read it.,This option does not match the grammar or contextual meaning of the sentence.,I should not read it.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-059,B1,hard,grammar,relative clauses,-DIK possessive,Anlama odaklanın: Geçen hafta aldığım kitap çok sürükleyici. “aldığım” hangi ismi tanımlar?,hafta,This option does not match the grammar or contextual meaning of the sentence.,kitap,Correct. This option matches the grammar or meaning in the sentence.,çok,This option does not match the grammar or contextual meaning of the sentence.,sürükleyici,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-060,B1,medium,grammar,reason,-DIği için,Anlama odaklanın: Otobüs geciktiği için toplantıya yetişemedik. Neden yetişemedik?,The meeting ended early.,This option does not match the grammar or contextual meaning of the sentence.,The bus was late.,Correct. This option matches the grammar or meaning in the sentence.,We took a taxi.,This option does not match the grammar or contextual meaning of the sentence.,We forgot the meeting.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-061,B1,easy,vocabulary,education,context vocabulary,Anlama odaklanın: Sınavdan önce bütün notlarımı tekrar ettim. “tekrar etmek” burada ne demektir?,to review,Correct. This option matches the grammar or meaning in the sentence.,to lose,This option does not match the grammar or contextual meaning of the sentence.,to copy illegally,This option does not match the grammar or contextual meaning of the sentence.,to submit,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-062,B1,hard,grammar,connectors,oysa,"Anlama odaklanın: Hava güneşli görünüyordu, oysa oldukça soğuktu. “oysa” ne yapar?",adds a reason,This option does not match the grammar or contextual meaning of the sentence.,introduces a contrast,Correct. This option matches the grammar or meaning in the sentence.,gives a purpose,This option does not match the grammar or contextual meaning of the sentence.,lists a sequence,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-063,B1,medium,grammar,comparison,kadar,Anlama odaklanın: Kardeşim benim kadar hızlı koşuyor. Anlam hangisidir?,My sibling runs faster than me.,This option does not match the grammar or contextual meaning of the sentence.,We run at roughly the same speed.,Correct. This option matches the grammar or meaning in the sentence.,I never run with my sibling.,This option does not match the grammar or contextual meaning of the sentence.,My sibling runs very slowly.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-064,B1,hard,grammar,gerund,-ip,Anlama odaklanın: Eve gidip biraz dinleneceğim. “gidip” yapısı neyi bağlar?,two sequential actions by the same subject,Correct. This option matches the grammar or meaning in the sentence.,a condition and result,This option does not match the grammar or contextual meaning of the sentence.,a reported statement,This option does not match the grammar or contextual meaning of the sentence.,a comparison,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-065,B1,medium,grammar,obligation,zorunda olmak,Anlama odaklanın: Yarın erken kalkmak zorundayım. En yakın anlam hangisidir?,I may wake up early.,This option does not match the grammar or contextual meaning of the sentence.,I have to wake up early.,Correct. This option matches the grammar or meaning in the sentence.,I used to wake up early.,This option does not match the grammar or contextual meaning of the sentence.,I wish I woke up early.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-066,B1,easy,vocabulary,health,context vocabulary,Anlama odaklanın: Doktor ilacı günde iki kez kullanmamı önerdi. “önermek” ne demektir?,to recommend,Correct. This option matches the grammar or meaning in the sentence.,to forbid,This option does not match the grammar or contextual meaning of the sentence.,to forget,This option does not match the grammar or contextual meaning of the sentence.,to measure,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-067,B1,hard,grammar,indirect speech,-mesini istemek,Anlama odaklanın: Annem eve erken gelmemi istedi. Anlam hangisidir?,My mother wanted me to come home early.,Correct. This option matches the grammar or meaning in the sentence.,My mother said she would come home early.,This option does not match the grammar or contextual meaning of the sentence.,I wanted my mother to leave early.,This option does not match the grammar or contextual meaning of the sentence.,My mother asked where home was.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-068,B1,medium,grammar,future in past,-ecekti,Anlama odaklanın: Saat sekizde başlayacaktı ama toplantı ertelendi. Ne anlıyoruz?,It was supposed to start at eight.,Correct. This option matches the grammar or meaning in the sentence.,It definitely started at eight.,This option does not match the grammar or contextual meaning of the sentence.,It had ended by eight.,This option does not match the grammar or contextual meaning of the sentence.,It starts at eight every day.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-069,B1,hard,grammar,reciprocal,-iş,Anlama odaklanın: İki arkadaş uzun süre bakıştı. “bakıştı” neyi anlatır?,They looked at each other.,Correct. This option matches the grammar or meaning in the sentence.,They both looked at a third person.,This option does not match the grammar or contextual meaning of the sentence.,One of them closed their eyes.,This option does not match the grammar or contextual meaning of the sentence.,They searched for something together.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-070,B1,medium,vocabulary,abstract,context vocabulary,Anlama odaklanın: Bu kararın sonuçlarını dikkatlice değerlendirmeliyiz. “değerlendirmek” ne demektir?,to evaluate,Correct. This option matches the grammar or meaning in the sentence.,to hide,This option does not match the grammar or contextual meaning of the sentence.,to announce,This option does not match the grammar or contextual meaning of the sentence.,to repeat,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-071,B1,easy,vocabulary,daily life,context vocabulary,Dilbilgisi açısından: Yoğun trafikten dolayı eve ancak saat sekizde varabildim. “varmak” ne demektir?,to arrive,Correct. This option matches the grammar or meaning in the sentence.,to leave,This option does not match the grammar or contextual meaning of the sentence.,to get lost,This option does not match the grammar or contextual meaning of the sentence.,to move house,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-072,B1,medium,grammar,purpose,-mek için,Dilbilgisi açısından: Türkçemi geliştirmek için her gün haber okuyorum. “-mek için” ne ifade eder?,purpose,Correct. This option matches the grammar or meaning in the sentence.,comparison,This option does not match the grammar or contextual meaning of the sentence.,past habit,This option does not match the grammar or contextual meaning of the sentence.,unexpected result,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-073,B1,hard,grammar,contrast,-mesine rağmen,Dilbilgisi açısından: Çok yorgun olmasına rağmen çalışmaya devam etti. Anlam hangisidir?,He continued working because he was energetic.,This option does not match the grammar or contextual meaning of the sentence.,"Although he was very tired, he continued working.",Correct. This option matches the grammar or meaning in the sentence.,He stopped working before getting tired.,This option does not match the grammar or contextual meaning of the sentence.,He worked so that he would become tired.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-074,B1,medium,grammar,time clauses,-DIkten sonra,Dilbilgisi açısından: Yemek yedikten sonra yürüyüşe çıktık. Hangisi önce oldu?,We went for a walk.,This option does not match the grammar or contextual meaning of the sentence.,We ate.,Correct. This option matches the grammar or meaning in the sentence.,Both happened at exactly the same time.,This option does not match the grammar or contextual meaning of the sentence.,The sentence does not say.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-075,B1,medium,grammar,time clauses,-madan önce,Dilbilgisi açısından: Evden çıkmadan önce pencereleri kontrol ettim. Hangisi doğrudur?,I checked the windows after leaving.,This option does not match the grammar or contextual meaning of the sentence.,I checked the windows before leaving.,Correct. This option matches the grammar or meaning in the sentence.,I did not check the windows.,This option does not match the grammar or contextual meaning of the sentence.,I left because the windows were open.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-076,B1,hard,grammar,reported past,-mIş inference,Dilbilgisi açısından: Yerler ıslak; gece yağmur yağmış. “yağmış” burada neyi gösterir?,a direct command,This option does not match the grammar or contextual meaning of the sentence.,an inference from evidence,Correct. This option matches the grammar or meaning in the sentence.,a definite future plan,This option does not match the grammar or contextual meaning of the sentence.,a repeated habit,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-077,B1,easy,vocabulary,communication,context vocabulary,Dilbilgisi açısından: Mesajıma henüz cevap vermedi. “cevap vermek” ne demektir?,to reply,Correct. This option matches the grammar or meaning in the sentence.,to delete,This option does not match the grammar or contextual meaning of the sentence.,to forward,This option does not match the grammar or contextual meaning of the sentence.,to print,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-078,B1,medium,grammar,ability,negative ability,Dilbilgisi açısından: Bu yazıyı gözlüksüz okuyamıyorum. Anlam hangisidir?,I refuse to read it.,This option does not match the grammar or contextual meaning of the sentence.,I am unable to read it without glasses.,Correct. This option matches the grammar or meaning in the sentence.,I have never read it.,This option does not match the grammar or contextual meaning of the sentence.,I should not read it.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-079,B1,hard,grammar,relative clauses,-DIK possessive,Dilbilgisi açısından: Geçen hafta aldığım kitap çok sürükleyici. “aldığım” hangi ismi tanımlar?,hafta,This option does not match the grammar or contextual meaning of the sentence.,kitap,Correct. This option matches the grammar or meaning in the sentence.,çok,This option does not match the grammar or contextual meaning of the sentence.,sürükleyici,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-080,B1,medium,grammar,reason,-DIği için,Dilbilgisi açısından: Otobüs geciktiği için toplantıya yetişemedik. Neden yetişemedik?,The meeting ended early.,This option does not match the grammar or contextual meaning of the sentence.,The bus was late.,Correct. This option matches the grammar or meaning in the sentence.,We took a taxi.,This option does not match the grammar or contextual meaning of the sentence.,We forgot the meeting.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-081,B1,easy,vocabulary,education,context vocabulary,Dilbilgisi açısından: Sınavdan önce bütün notlarımı tekrar ettim. “tekrar etmek” burada ne demektir?,to review,Correct. This option matches the grammar or meaning in the sentence.,to lose,This option does not match the grammar or contextual meaning of the sentence.,to copy illegally,This option does not match the grammar or contextual meaning of the sentence.,to submit,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-082,B1,hard,grammar,connectors,oysa,"Dilbilgisi açısından: Hava güneşli görünüyordu, oysa oldukça soğuktu. “oysa” ne yapar?",adds a reason,This option does not match the grammar or contextual meaning of the sentence.,introduces a contrast,Correct. This option matches the grammar or meaning in the sentence.,gives a purpose,This option does not match the grammar or contextual meaning of the sentence.,lists a sequence,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-083,B1,medium,grammar,comparison,kadar,Dilbilgisi açısından: Kardeşim benim kadar hızlı koşuyor. Anlam hangisidir?,My sibling runs faster than me.,This option does not match the grammar or contextual meaning of the sentence.,We run at roughly the same speed.,Correct. This option matches the grammar or meaning in the sentence.,I never run with my sibling.,This option does not match the grammar or contextual meaning of the sentence.,My sibling runs very slowly.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-084,B1,hard,grammar,gerund,-ip,Dilbilgisi açısından: Eve gidip biraz dinleneceğim. “gidip” yapısı neyi bağlar?,two sequential actions by the same subject,Correct. This option matches the grammar or meaning in the sentence.,a condition and result,This option does not match the grammar or contextual meaning of the sentence.,a reported statement,This option does not match the grammar or contextual meaning of the sentence.,a comparison,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-085,B1,medium,grammar,obligation,zorunda olmak,Dilbilgisi açısından: Yarın erken kalkmak zorundayım. En yakın anlam hangisidir?,I may wake up early.,This option does not match the grammar or contextual meaning of the sentence.,I have to wake up early.,Correct. This option matches the grammar or meaning in the sentence.,I used to wake up early.,This option does not match the grammar or contextual meaning of the sentence.,I wish I woke up early.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-086,B1,easy,vocabulary,health,context vocabulary,Dilbilgisi açısından: Doktor ilacı günde iki kez kullanmamı önerdi. “önermek” ne demektir?,to recommend,Correct. This option matches the grammar or meaning in the sentence.,to forbid,This option does not match the grammar or contextual meaning of the sentence.,to forget,This option does not match the grammar or contextual meaning of the sentence.,to measure,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-087,B1,hard,grammar,indirect speech,-mesini istemek,Dilbilgisi açısından: Annem eve erken gelmemi istedi. Anlam hangisidir?,My mother wanted me to come home early.,Correct. This option matches the grammar or meaning in the sentence.,My mother said she would come home early.,This option does not match the grammar or contextual meaning of the sentence.,I wanted my mother to leave early.,This option does not match the grammar or contextual meaning of the sentence.,My mother asked where home was.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-088,B1,medium,grammar,future in past,-ecekti,Dilbilgisi açısından: Saat sekizde başlayacaktı ama toplantı ertelendi. Ne anlıyoruz?,It was supposed to start at eight.,Correct. This option matches the grammar or meaning in the sentence.,It definitely started at eight.,This option does not match the grammar or contextual meaning of the sentence.,It had ended by eight.,This option does not match the grammar or contextual meaning of the sentence.,It starts at eight every day.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-089,B1,hard,grammar,reciprocal,-iş,Dilbilgisi açısından: İki arkadaş uzun süre bakıştı. “bakıştı” neyi anlatır?,They looked at each other.,Correct. This option matches the grammar or meaning in the sentence.,They both looked at a third person.,This option does not match the grammar or contextual meaning of the sentence.,One of them closed their eyes.,This option does not match the grammar or contextual meaning of the sentence.,They searched for something together.,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-090,B1,medium,vocabulary,abstract,context vocabulary,Dilbilgisi açısından: Bu kararın sonuçlarını dikkatlice değerlendirmeliyiz. “değerlendirmek” ne demektir?,to evaluate,Correct. This option matches the grammar or meaning in the sentence.,to hide,This option does not match the grammar or contextual meaning of the sentence.,to announce,This option does not match the grammar or contextual meaning of the sentence.,to repeat,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-091,B1,easy,vocabulary,daily life,context vocabulary,Bu örnekte: Yoğun trafikten dolayı eve ancak saat sekizde varabildim. “varmak” ne demektir?,to arrive,Correct. This option matches the grammar or meaning in the sentence.,to leave,This option does not match the grammar or contextual meaning of the sentence.,to get lost,This option does not match the grammar or contextual meaning of the sentence.,to move house,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-092,B1,medium,grammar,purpose,-mek için,Bu örnekte: Türkçemi geliştirmek için her gün haber okuyorum. “-mek için” ne ifade eder?,purpose,Correct. This option matches the grammar or meaning in the sentence.,comparison,This option does not match the grammar or contextual meaning of the sentence.,past habit,This option does not match the grammar or contextual meaning of the sentence.,unexpected result,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-093,B1,hard,grammar,contrast,-mesine rağmen,Bu örnekte: Çok yorgun olmasına rağmen çalışmaya devam etti. Anlam hangisidir?,He continued working because he was energetic.,This option does not match the grammar or contextual meaning of the sentence.,"Although he was very tired, he continued working.",Correct. This option matches the grammar or meaning in the sentence.,He stopped working before getting tired.,This option does not match the grammar or contextual meaning of the sentence.,He worked so that he would become tired.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-094,B1,medium,grammar,time clauses,-DIkten sonra,Bu örnekte: Yemek yedikten sonra yürüyüşe çıktık. Hangisi önce oldu?,We went for a walk.,This option does not match the grammar or contextual meaning of the sentence.,We ate.,Correct. This option matches the grammar or meaning in the sentence.,Both happened at exactly the same time.,This option does not match the grammar or contextual meaning of the sentence.,The sentence does not say.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-095,B1,medium,grammar,time clauses,-madan önce,Bu örnekte: Evden çıkmadan önce pencereleri kontrol ettim. Hangisi doğrudur?,I checked the windows after leaving.,This option does not match the grammar or contextual meaning of the sentence.,I checked the windows before leaving.,Correct. This option matches the grammar or meaning in the sentence.,I did not check the windows.,This option does not match the grammar or contextual meaning of the sentence.,I left because the windows were open.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-096,B1,hard,grammar,reported past,-mIş inference,Bu örnekte: Yerler ıslak; gece yağmur yağmış. “yağmış” burada neyi gösterir?,a direct command,This option does not match the grammar or contextual meaning of the sentence.,an inference from evidence,Correct. This option matches the grammar or meaning in the sentence.,a definite future plan,This option does not match the grammar or contextual meaning of the sentence.,a repeated habit,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-097,B1,easy,vocabulary,communication,context vocabulary,Bu örnekte: Mesajıma henüz cevap vermedi. “cevap vermek” ne demektir?,to reply,Correct. This option matches the grammar or meaning in the sentence.,to delete,This option does not match the grammar or contextual meaning of the sentence.,to forward,This option does not match the grammar or contextual meaning of the sentence.,to print,This option does not match the grammar or contextual meaning of the sentence.,A
tr-b1-098,B1,medium,grammar,ability,negative ability,Bu örnekte: Bu yazıyı gözlüksüz okuyamıyorum. Anlam hangisidir?,I refuse to read it.,This option does not match the grammar or contextual meaning of the sentence.,I am unable to read it without glasses.,Correct. This option matches the grammar or meaning in the sentence.,I have never read it.,This option does not match the grammar or contextual meaning of the sentence.,I should not read it.,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-099,B1,hard,grammar,relative clauses,-DIK possessive,Bu örnekte: Geçen hafta aldığım kitap çok sürükleyici. “aldığım” hangi ismi tanımlar?,hafta,This option does not match the grammar or contextual meaning of the sentence.,kitap,Correct. This option matches the grammar or meaning in the sentence.,çok,This option does not match the grammar or contextual meaning of the sentence.,sürükleyici,This option does not match the grammar or contextual meaning of the sentence.,B
tr-b1-100,B1,medium,grammar,reason,-DIği için,Bu örnekte: Otobüs geciktiği için toplantıya yetişemedik. Neden yetişemedik?,The meeting ended early.,This option does not match the grammar or contextual meaning of the sentence.,The bus was late.,Correct. This option matches the grammar or meaning in the sentence.,We took a taxi.,This option does not match the grammar or contextual meaning of the sentence.,We forgot the meeting.,This option does not match the grammar or contextual meaning of the sentence.,B
